Id,joy,positive,sadness,negative,anger,anticipation,fear,trust,disgust,surprise,cluster_label
lZiaYpD9ZrI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3tDPeqLBbbc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1_lap6dzSUc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
H1hvxov6cTk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
oDiIoSl526k,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
Q2O0BePaLSw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4j7Fa2PCMow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
zsYYJ5iU4pk,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2
3AfOimz2Ebg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
2ssCL292DQA,0.0,0.20000000000000004,0.0,0.6000000000000001,0.0,1.0000000000000002,0.0,0.4,0.0,0.0,2
ca8RoyQ1tNo,0.2894736842105263,0.368421052631579,1.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,2
BIcNiswoh98,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
qUqwbRfSUgM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
PrqwxkBB0DA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3M_5oYU-IsU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
5lSGFVLfC78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
o0QB6cXs1_k,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
WNeLUngb-Xg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3PkgcCIg-yc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
pj6k-EFxqAI,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,1.0,0.0,0.19999999999999996,0.0,0.0,2
QfKBrsRBncI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
pfVODjDBFxU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
Bm5iA4Zupek,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2
YM_l3wlDbTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
PT5oqO-hiEQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
r0Eq1Cw-TMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
vxj-PhixV74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
y64m5o1rMG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-WZ_VA2amyk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
X80g2uwz_CI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
yhrkyR3mLMk,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
XJwtrA9C264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7iSJbEUuRnE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
lVW9o6iIGPk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Uifu_h5j_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
VT0YV-hJHzg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
2YX6O03d85s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
oXm2AuqwPlc,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,2
46jdAF0X8CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
e_12Apy8LR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9aEczzCM514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UCOxqgCwgOqC2lMqC5PYz_Dg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-a8KsDyRxuo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UzhvQZ2sDfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
BS3HgiHPYcs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dBRv7OxXuzA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2GOcreQmOZ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4O8nsxQJN8s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
fQ0xN6eWX_o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
GHUVZnd8JqU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
_PxjfQkrBNo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Z1tdtOVUu0w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8RSsxw2BBTc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
kUUq9Xh8wqA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UCS4iXNXsvlOHm7TuXLltreg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
a-Lp2uC_1lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
I0rGN9etgHk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
UC-9-kyTW8ZkZNDHQJ6FgpwQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
F-IPRfEDTCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
XiBv-B2yZoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Df_wETCQ27o,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
OUPOxUMZAbQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
jl8gQ7zAq8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UCuHgenThTJSwe6GViFDhDMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4xtctQcble8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
kI4fh2UeNCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
l7YFkpLBTvM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
bl4ECUVs2EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JLGqL_JR_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
I0dICJHzYJY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
l-dXv_u2sDo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
N-qZA0Gddno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
A7uvpYzz-ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
W5xjNOAmrZs,0.012422360248447206,0.055900621118012424,0.024844720496894408,0.9999999999999999,0.0,0.0,0.031055900621118016,0.0,0.006211180124223602,0.006211180124223602,2
sMI9Yzc2XLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
u8UAOlYEAs0,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.0,2
gcn1FshFao8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
WoJp3mDvq7k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
gsw-VVj_ing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
_45HwP8Hit0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
NUUmOJydHyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
fw4rUN4Fykg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
IIMN8RqBWlQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A-6TwB7nlu4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
D0QCtgSxVfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Y5J02UAlOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
eA7y-lBLJv0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6W5yqhdSG00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dhgKOYbxM5k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
mz6tqru-Bzc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1qbLCWOUbpY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
w6-3fY1R_6I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iARyjd65w2o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxcP9oizcQI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
lg647NcK8dI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
m3ikB63AQ9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4vQ4iosHrQY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
q4D0urSKR6o,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
I2kM7npB7lQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
MLnu9E6RjCM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
zytkO0Hz7Ks,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2
Q-w81EA2uZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
igN_QZYlV3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Wsv2kNSO0AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Y05XZ_z95Lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AfXPrZ4mygY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6wrFjtKLakw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9T2lV6L93hI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
gJyTNrnpoGc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
48ppN6RCWUk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
P407XYl9NkU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
CDOSuNHbN68,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.8333333333333333,2
icfbE7nWnoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Pk5AyGPr2Gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
PlZhfg4P-dQ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
jNH1vHYUrfg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
ZrxCRySeHNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
qk-9it0OL88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5xPOnrjVjBU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
LA8Uwgq3Mbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
vL9QFcINAew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
lCX2Hy-Wfy0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
rPueV8GY-2Q,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
yrsQ2zMww28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
Win7yyT9za8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5liqLQ6GjQE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
19fE9Jh-DRs,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.4999999999999999,0.0,0.0,2
EBgS1Ha8rpI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
bIfBCeQ6USY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2
unO42wy1KKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
M_AcPiQzDIQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
7IHCbMNQztE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
qMPR7vqt3pI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
udm4mcJo3qM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
zk53ehuE7Y8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
AF-jRjyskPo,0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2
clWNaTsZPiM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
bMXEcbmkr9w,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
fmXdAyDJ-is,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2
jOELfVeHExc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
84GE39MRdtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
y93JviB6Og8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
xz0lvY8l65A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
C6-tYvQzaWU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iTqACYjHy5E,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
n2ztHOIhfvk,0.059259259259259255,0.0962962962962963,0.014814814814814815,0.07407407407407407,0.044444444444444446,0.037037037037037035,1.0,0.10370370370370371,0.0,0.029629629629629624,2
6LrrbRNy_DY,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
WWM68fGKiL4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
nuKv7X34L5I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
FPw_Pgeixf4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
STZNMDVOv6E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
ObgZ34_cTAg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UCZt3eNQbRX247QHtOflcsXg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9IEjpEnelvo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
IYCTk-PhGw0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JnBmLi9hpFI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
YzRvDoXL6q0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Yr_zN-zPTiw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
DCOmW-s-Aqg,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2
8VGCQI3-j5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
v--LDdYGzDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
S-B30QlAvDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
ZwlCSxB90h8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
UpRJNnj68uU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
wa2W9fCQm3U,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
y5Gr4c5CNoE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
vr-8_7KatPg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7jbO8ToJTko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
C0_hkesZ1Xk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
wvvWJ1rsaEM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
KvcJjMJNoGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
04beo9zMiHg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
YU79_3gIBO0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
zgL9HrVhugk,0.0,0.0,0.4999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2
